"","GSPC","ADBE","AMGN","AMAT","CELG","CSCO","CME","CTSH","EBAY","ESRX","GILD","INTU","NFLX"
"1",15.8145,32.299999,52.592167,10.412645,28.389999,19.228592,43.365292,21.83,9.688552,41.93,23.461237,27.938545,8.892858
"2",17.5262,34.650002,50.910442,10.514408,29.76,20.820278,45.613541,24.065001,9.688552,48.005001,23.14045,30.533312,9.435715
"3",17.7793,35.369999,53.815243,11.571004,30.98,22.275045,47.97163,25.49,11.35101,50.880001,22.100321,32.382671,10.534286
"4",16.1475,33.599998,51.539967,11.837299,30.995001,23.045216,49.968739,25.555,10.008417,50.064999,19.300718,34.14711,14.128572
"5",15.3198,32.080002,46.56673,11.159957,26.379999,19.819056,48.053581,25.02,9.010942,50.299999,17.45862,33.722515,15.878572
"6",15.3499,26.43,47.304173,10.382561,25.41,18.235928,42.891602,25.030001,8.253367,47.02,16.661512,32.80727,15.521428
"7",16.4617,28.719999,49.039856,10.192531,27.575001,19.742039,42.47266,27.280001,8.800505,45.18,16.194912,37.506153,14.65
"8",16.8272,27.700001,45.901237,9.014231,25.735001,17.106344,37.804935,28.805,9.776936,42.599998,15.47071,40.32737,17.931429
"9",16.8272,26.15,49.561462,10.152963,28.805,18.740816,39.854549,32.235001,10.269361,48.700001,17.307949,41.336971,23.165714
"10",17.3661,28.15,51.432045,10.735368,31.014999,19.562332,44.322788,32.595001,12.56734,48.52,19.281277,45.271576,24.795713
"11",17.4816,27.799999,47.385109,10.86561,29.690001,16.396076,44.079483,32.490002,12.26431,52.09,17.740524,42.356003,29.414286
"12",17.3584,30.780001,49.372608,12.281724,29.57,17.311722,49.415783,36.645,11.712963,54.049999,17.614155,46.517063,25.1
"13",18.153,33.049999,49.534485,13.71532,25.764999,18.099009,47.390007,36.474998,12.777778,56.330002,18.654284,44.280849,30.582857
"14",18.667,34.5,46.162041,14.424825,26.549999,15.882628,47.807755,38.435001,14.103536,56.220001,18.945908,49.611912,29.524286
"15",18.6047,33.16,48.068596,13.713679,28.790001,14.727433,46.52774,40.700001,13.063973,55.610001,20.642195,50.111996,33.968571
"16",18.9392,33.549999,51.126278,13.775136,29.440001,15.045169,45.635914,41.450001,14.473906,56.740002,18.877863,52.423695,33.238571
"17",18.1287,34.630001,54.444767,12.169616,30.455,14.426873,44.091419,38.02,13.118687,59.560001,20.287384,50.92345,38.685715
"18",18.9392,31.450001,52.475254,11.489601,30.16,13.40497,45.224457,36.669998,13.58165,53.98,20.126989,48.932556,37.527142
"19",17.582,27.709999,49.192741,10.880238,29.65,13.766196,44.852226,34.935001,13.78367,54.259998,20.58873,44.063831,37.998573
"20",16.4284,25.24,50.094097,10.06994,29.735001,13.507595,41.429256,31.725,12.992424,46.939999,19.383347,46.545372,33.572857
"21",14.9407,24.17,49.696236,9.215952,30.955,13.361054,38.426811,31.35,12.411616,37.07,18.858421,44.762058,16.181429
"22",15.856,29.41,51.784996,10.95951,32.415001,16.036268,42.9744,36.375,13.396464,45.77,20.248501,50.802864,11.725715
"23",14.7436,27.42,52.620701,9.658376,31.540001,16.131464,38.875954,33.674999,12.453704,45.650002,19.368765,50.39584,9.218572
"24",14.0342,28.27,58.34528,9.595659,33.799999,15.646828,38.225075,32.154999,12.765152,44.689999,19.89369,49.78056,9.898571
"25",16.4752,30.950001,61.72551,11.002306,36.345001,17.062162,37.572483,35.875,13.299664,51.16,23.748001,53.57785,17.171429
"26",17.3814,32.889999,62.130253,11.043439,36.66,17.261871,45.41296,35.474998,15.042088,53.330002,22.134344,54.906857,15.818571
"27",17.7325,34.310001,62.093708,11.22374,38.759998,18.364616,46.268021,38.474998,15.530303,54.18,23.748001,57.109207,16.434286
"28",17.8405,33.549999,64.962242,10.809048,36.465,17.571335,42.508434,36.665001,17.264309,55.790001,25.283894,55.169628,11.448571
"29",17.0063,31.049999,63.834373,9.391842,34.125,14.23313,41.18914,29.125,16.494108,52.189999,24.277788,53.51368,9.062857
"30",16.106,32.369999,66.947128,10.410125,32.080002,14.965269,43.234131,30,17.680977,55.830002,24.924223,56.48296,9.784286
"31",17.6618,30.879999,75.844643,9.900984,34.23,13.967,42.015041,28.385,18.644781,57.939999,26.406651,55.355785,8.121428
"32",18.7908,31.27,77.395523,10.708846,36.02,16.707861,44.264553,32.139999,19.978956,62.619999,28.039749,55.85191,8.531428
"33",18.5901,32.439999,77.736755,10.232491,38.200001,16.725374,46.570446,34.945,20.357744,62.630001,32.239151,56.176296,7.777143
"34",18.7035,34.029999,79.765709,9.710332,36.674999,15.129052,45.464912,33.325001,20.311447,61.540001,32.652287,56.859318,11.32
"35",18.001,34.610001,82.242325,9.917356,39.294998,16.805092,44.928406,33.615002,22.23064,53.849998,36.453133,57.318554,11.672857
"36",18.0349,37.68,79.834328,10.573585,39.235001,17.462721,42.578999,36.939999,21.464647,54,35.699768,56.907154,13.227143
"37",19.9491,37.830002,79.148972,11.932254,49.48,18.280313,48.604092,39.09,23.556396,53.419998,38.348698,59.845047,23.605715
"38",20.4111,39.310001,85.251015,12.754307,51.634998,18.538034,50.141876,38.384998,23.026094,56.93,41.527412,61.850113,26.868572
"39",20.7532,43.52,95.456924,12.540339,57.955002,18.57358,51.983597,38.310001,22.819866,57.619999,47.573769,62.991756,27.040001
"40",20.8012,45.080002,97.039955,13.498541,59.035,18.741642,51.518021,32.400002,22.049664,59.369999,49.226311,57.367683,30.867144
"41",21.3802,42.91,94.026596,14.235921,61.825001,21.608433,57.502781,32.325001,22.76936,62.119999,52.959114,56.213402,32.32143
"42",20.7752,45.560001,92.277573,13.97368,58.490002,21.805525,64.712097,31.32,21.767677,61.740002,49.838726,58.714344,30.155714
"43",20.8149,47.279999,101.284592,15.284883,73.43,23.086609,63.101753,36.195,21.755051,65.550003,59.685932,61.652172,34.925713
"44",19.2507,45.75,102.338486,14.148962,69.989998,21.029655,60.588249,36.650002,21.039562,63.880001,58.587479,61.276009,40.558571
"45",17.7303,51.939999,105.137901,16.524405,77.07,21.137917,63.336853,41.060001,23.484848,61.799999,61.114891,63.957378,44.172855
"46",17.4352,54.220001,109.10218,16.835474,74.245003,20.50178,63.619762,43.465,22.184343,62.52,69.192909,69.07457,46.068573
"47",17.09,56.779999,107.613937,16.404436,80.885002,19.311295,70.255211,46.945,21.262627,67.349998,72.721573,71.802338,52.257141
"48",16.7625,59.880001,107.613937,16.764765,84.485001,20.38364,69.83242,50.490002,23.093435,70.239998,73.003471,73.823982,52.595715
"49",17.5769,59.189999,112.207901,15.949284,75.964996,20.063143,66.539284,48.455002,22.390572,74.690002,78.398544,71.029518,58.475716
"50",17.8637,68.629997,117.586769,18.074286,80.375,19.962414,65.702644,52.029999,24.734848,75.309998,80.478798,75.780983,63.66143
"51",18.0609,65.739998,116.942047,19.466084,69.800003,20.530153,66.288338,50.599998,23.249159,75.089996,68.881844,75.373718,50.290001
"52",18.8196,61.689999,105.953247,18.169615,73.504997,21.342863,63.03751,47.91,21.813972,66.580002,76.298836,73.640816,46.005714
"53",18.9295,64.540001,110.577019,19.342966,76.514999,22.737398,64.47934,48.610001,21.351009,71.470001,78.942909,77.082253,59.689999
"54",18.9204,72.360001,112.845955,21.603956,85.879997,22.94981,63.971561,48.91,21.069023,69.330002,80.595451,78.28772,62.942856
"55",19.1917,69.25,121.445007,20.080662,87.150002,23.478622,66.66748,49.049999,22.234848,69.650002,88.994255,79.874481,60.388573
"56",19.1935,71.900002,133.515152,22.2411,95.019997,23.255281,69.020767,45.73,23.358585,73.93,104.557304,81.053543,68.234283
"57",18.6976,69.190002,134.549698,20.797499,94.779999,23.601301,72.541336,44.77,23.834175,70.629997,103.478294,85.409271,64.454285
"58",18.423,70.120003,155.355743,21.259451,107.089996,22.944927,76.034134,48.849998,22.095959,76.82,108.87336,86.020836,56.110001
"59",18.537,73.68,158.959137,23.24918,113.690002,25.91736,76.787125,53.990002,23.097643,83.150002,97.519424,91.74839,49.512856
"60",18.6183,72.699997,153.17041,24.09021,111.860001,26.086142,82.635788,52.66,23.619528,84.669998,91.628601,90.106361,48.80143
"61",18.9043,70.129997,146.410492,22.079472,119.160004,24.896545,79.513062,54.130001,22.306396,80.709999,101.903519,85.099319,63.114285
"62",19.525,79.099998,152.463654,24.316612,121.529999,27.861094,89.421898,62.490002,24.372896,84.790001,100.639809,95.695076,67.844284
"63",20.1382,73.940002,154.522675,21.899513,115.279999,26.190645,88.742958,62.389999,24.276094,86.769997,95.390556,95.038361,59.527142
"64",20.4883,76.059998,152.647324,19.210611,108.059998,27.427399,85.182373,58.540001,24.520203,86.400002,97.704124,98.594772,79.5
"65",20.2691,79.089996,151.796921,19.63792,114.440002,27.884047,88.265083,64.720001,25.824915,87.139999,109.135818,102.348701,89.151428
"66",19.8307,81.010002,149.135178,18.750166,115.739998,26.12405,87.653679,61.09,25.353535,88.940002,114.223846,99.027153,93.848572
"67",20.0542,81.989998,171.546249,16.935635,131.25,27.245707,90.460556,63.099998,28.120001,90.07,114.984818,104.192154,114.309998
"68",19.5332,78.57,148.130753,15.789394,118.080002,24.810658,88.953514,62.939999,27.110001,83.599998,102.506821,84.47081,115.029999
"69",19.8806,82.220001,134.99437,14.415549,108.169998,25.165369,87.82737,62.610001,24.440001,80.959999,96.171875,87.426056,103.260002
"70",20.9458,88.660004,154.376862,16.45669,122.709999,27.880989,89.465729,68.110001,27.9,86.379997,105.90757,96.294693,108.379997
"71",20.8872,91.459999,158.022537,18.523743,109.449997,26.334728,92.47728,64.580002,29.59,85.480003,103.782173,99.032417,123.330002
"72",20.4966,93.940002,159.229034,18.425055,119.760002,26.247751,88.958351,60.02,27.48,87.410004,99.538101,95.375534,114.379997
